award_id,agency,detailed_status,grantee_organization,grantee_state,grantee_city,grantee_org_type,usasp_award_id,usasp_recipient_name,uei,parent_uei,parent_name,business_categories,usasp_address,usasp_city,usasp_state,usasp_country,usasp_zip5,usasp_county,usasp_congressional,usasp_pop_end,ein,bmf_name,bmf_city,bmf_zip5,ntee,bmf_revenue,match_tier,match_name_score,match_geo_score,match_method
NH23IP922603,cdc,Reinstated (confirmed),State of New Mexico,NM,Santa Fe,Health Department,ASST_NON_NH23IP922603_075,STATE OF NEW MEXICO,E7TEBXBL17P5,,,Government|U.S. Regional/State Government,1190 S SAINT FRANCIS DR # 3152,SANTA FE,NM,USA,87505,SANTA FE,03,2025-06-30,,,,,,,GOV,0,0,government-entity
NH23IP922604,cdc,Reinstated (confirmed),"Health And Human Services, Maine Department Of",ME,Augusta,Welfare Department,ASST_NON_NH23IP922604_075,"HEALTH AND HUMAN SERVICES, MAINE DEPARTMENT OF",GJEPWTMKF5A3,,,Government|U.S. Regional/State Government,109 CAPITOL STREET,AUGUSTA,ME,USA,04333,KENNEBEC,02,2025-06-30,,,,,,,GOV,0,0,government-entity
NH23IP922609,cdc,Reinstated (confirmed),NEVADA DEPARTMENT OF HEALTH AND HUMAN SERVICES,NV,CARSON CITY,Welfare Department,ASST_NON_NH23IP922609_075,NEVADA DEPARTMENT OF HEALTH AND HUMAN SERVICES,F99FYNEGXSH9,,,Government|U.S. Regional/State Government,4150 TECHNOLOGY WAY,CARSON CITY,NV,USA,89706,CARSON CITY (CITY),02,2025-06-30,,,,,,,GOV,0,0,government-entity
NH23IP922611,cdc,Reinstated (confirmed),STATE OF WISCONSIN DEPARTMENT OF HEALTH SERVICES,WI,Madison,Other Social Services Organization,ASST_NON_NH23IP922611_075,STATE OF WISCONSIN DEPARTMENT OF HEALTH SERVICES,CG2SZ7HCNV54,,,Government|U.S. Regional/State Government,201 E WASHINGTON AVE,MADISON,WI,USA,53703,DANE,02,2025-06-30,,,,,,,GOV,0,0,government-entity
NH23IP922612,cdc,Reinstated (confirmed),"PUBLIC HEALTH, CALIFORNIA DEPARTMENT OF",CA,SACRAMENTO,Other Health Organization,ASST_NON_NH23IP922612_075,"PUBLIC HEALTH, CALIFORNIA DEPARTMENT OF",KD2JSY6LNMW7,KD2JSY6LNMW7,"PUBLIC HEALTH, CALIFORNIA DEPARTMENT OF",Government|U.S. Regional/State Government,1615 CAPITOL AVE,SACRAMENTO,CA,USA,95814,SACRAMENTO,07,2025-06-30,,,,,,,GOV,0,0,government-entity
NH23IP922613,cdc,Reinstated (confirmed),CHICAGO DEPARTMENT OF PUBLIC HEALTH,IL,CHICAGO,Planning & Administrative Organizations,ASST_NON_NH23IP922613_075,CHICAGO DEPARTMENT OF PUBLIC HEALTH,K8F7VYLKGN64,,CITY OF CHICAGO,Government|U.S. Regional/State Government,111 WEST WASHINGTON STREET,CHICAGO,IL,USA,60602,COOK,07,2025-06-30,,,,,,,GOV,0,0,government-entity
NH23IP922614,cdc,Reinstated (confirmed),HAWAII DEPARTMENT OF HEALTH,HI,HONOLULU,Health Department,ASST_NON_NH23IP922614_075,HAWAII DEPARTMENT OF HEALTH,LFVFLBD6XZB5,,,Government|U.S. Regional/State Government,1250 PUNCHBOWL ST,HONOLULU,HI,USA,96813,HONOLULU,01,2025-06-30,,,,,,,GOV,0,0,government-entity
NH23IP922618,cdc,Reinstated (confirmed),STATE OF RHODE ISLAND DEPARTMENT OF HEALTH,RI,Providence,Health Department,ASST_NON_NH23IP922618_075,STATE OF RHODE ISLAND DEPARTMENT OF HEALTH,NERYUGQ8XNB1,NSA8T7PLC9K3,STATE OF RHODE ISLAND,Government|U.S. Regional/State Government,3 CAPITOL HL,PROVIDENCE,RI,USA,02908,PROVIDENCE,01,2025-06-30,,,,,,,GOV,0,0,government-entity
NH23IP922619,cdc,Reinstated (confirmed),"HEALTH, WASHINGTON STATE DEPARTMENT OF",WA,TUMWATER,Other Health Organization,ASST_NON_NH23IP922619_075,"HEALTH, WASHINGTON STATE DEPARTMENT OF",C16SP2HBR123,,,Government|U.S. Regional/State Government,101 ISRAEL RD SE,OLYMPIA,WA,USA,98501,THURSTON,10,2025-06-30,,,,,,,GOV,0,0,government-entity
NH23IP922620,cdc,Reinstated (confirmed),HEALTH SERVICES KENTUCKY CABINET FOR,KY,FRANKFORT,Health Department,ASST_NON_NH23IP922620_075,HEALTH SERVICES KENTUCKY CABINET FOR,LECJQDCLHVE5,,,Government|U.S. Regional/State Government,275 E MAIN ST,FRANKFORT,KY,USA,40601,FRANKLIN,01,2025-06-30,,,,,,,GOV,0,0,government-entity
NH23IP922624,cdc,Reinstated (confirmed),NORTH CAROLINA DEPARTMENT OF HEALTH & HUMAN SERVICES,NC,RALEIGH,Welfare Department,ASST_NON_NH23IP922624_075,NORTH CAROLINA DEPARTMENT OF HEALTH & HUMAN SERVICES,DKT3LLBWFVL3,,,Government|U.S. Regional/State Government,1915 HEALTH SERVICES WAY,RALEIGH,NC,USA,27607,WAKE,02,2025-06-30,,,,,,,GOV,0,0,government-entity
NH23IP922625,cdc,Reinstated (confirmed),NYS DEPARTMENT OF HEALTH,NY,ALBANY,Welfare Department,ASST_NON_NH23IP922625_075,NYS DEPARTMENT OF HEALTH,F863WQVMZSK7,,,Government|U.S. Regional/State Government,CORNING TOWER,ALBANY,NY,USA,12237,ALBANY,20,2025-06-30,,,,,,,GOV,0,0,government-entity
NH23IP922626,cdc,Reinstated (confirmed),Oregon Health Authority-Public Health,OR,Salem,Health Department,ASST_NON_NH23IP922626_075,OREGON HEALTH AUTHORITY-PUBLIC HEALTH,HFJRBHKCBPR5,,,Government|U.S. Regional/State Government,500 SUMMER ST NE # E81,SALEM,OR,USA,97301,MARION,06,2025-06-30,,,,,,,GOV,0,0,government-entity
NH23IP922628,cdc,Reinstated (confirmed),MINNESOTA DEPARTMENT OF HEALTH,MN,SAINT PAUL,Health Department,ASST_NON_NH23IP922628_075,MINNESOTA DEPARTMENT OF HEALTH,DHQVY2WCVHC5,Z9Z1N8F2JFC1,STATE OF MINNESOTA,Government|U.S. Regional/State Government,625 ROBERT ST N,SAINT PAUL,MN,USA,55155,RAMSEY,04,2025-06-30,,,,,,,GOV,0,0,government-entity
NH23IP922629,cdc,Reinstated (confirmed),"PUBLIC HEALTH, MASSACHUSETTS DEPARTMENT OF",MA,BOSTON,Health Department,ASST_NON_NH23IP922629_075,"PUBLIC HEALTH, MASSACHUSETTS DEPARTMENT OF",DLKMR1QVDX34,,,Government|U.S. Regional/State Government,250 WASHINGTON ST,BOSTON,MA,USA,02108,SUFFOLK,08,2025-06-30,,,,,,,GOV,0,0,government-entity
